ID,Title,Primary Description,Detail URL,Location,Skill,Company Name,Created At,Country
0,inhouse consultant information security awareness,"Deichmann · Essen, North Rhine-Westphalia, Germany",https://www.linkedin.com/jobs/view/4300643770,"Essen, North Rhine-Westphalia, Germany","Information Security, Phishing",Deichmann,2025-09-18,Germany
1,senior storage engineer,"Vattenfall · Stockholm, Stockholm County, Sweden (Hybrid)",https://www.linkedin.com/jobs/view/4279274865,"Stockholm, Stockholm County, Sweden","English, Data Centers",Vattenfall,2025-08-04,Sweden
2,dba,"SoSafe · Madrid, Community of Madrid, Spain (On-site)",https://www.linkedin.com/jobs/view/4292576067,"Madrid, Community of Madrid, Spain","Amazon Web Services (AWS), Amazon Relational Database Service (RDS)",SoSafe,2025-08-28,Spain
3,business system analyst,"Exness · Limassol, Cyprus (Hybrid)",https://www.linkedin.com/jobs/view/4272079301,"Limassol, Cyprus","English, Programming Languages",Exness,2025-07-25,Cyprus
4,data privacy protection consultant hmx,"EXPERTIS SPAIN · Three songs, Community of Madrid, Spain (Hybrid)",https://www.linkedin.com/jobs/view/4300652034,"Tres Cantos, Community of Madrid, Spain","Data Privacy, Data Protection Act",Experis España,2025-09-18,Spain
5,mobile exploratory tester,"Alten Poland · Cracow, Lesser Poland, Poland (Hybrid)",https://www.linkedin.com/jobs/view/4305596390,"Cracow, Małopolskie, Poland","Analytical Skills, Android Development",ALTEN Polska,2025-09-24,Poland
6,business analyst regulatory reporting,Revolut · Lithuania (remote),https://www.linkedin.com/jobs/view/4273783573,Lithuania,"English, Business",Revolut,2025-07-29,Lithuania
7,technology cyber security summer internship programme glasgow,"Barclays · Glasgow, Scotland, United Kingdom",https://www.linkedin.com/jobs/view/4299540566,"Glasgow, Scotland, United Kingdom","Analytical Skills, HTML",Barclays,2025-09-16,United Kingdom
8,junior project coordinator contract remote,"Infuse · Tallinn, Harju County, Estonia (Remote)",https://www.linkedin.com/jobs/view/4294362019,"Tallinn, Harjumaa, Estonia","English, Analytical Skills",INFUSE,2025-09-02,Estonia
9,full stack developer,"Planck Technologies · Maia, Porto, Portugal (Hybrid)",https://www.linkedin.com/jobs/view/4291777032,"Maia, Porto, Portugal","React.js, Back-End Web Development",Planck Technologies,2025-09-01,Portugal
10,security engineer incident response group security,"Vinted · Kaunas, Kaunas, Lithuania",https://www.linkedin.com/jobs/view/4275344768,"Kaunas, Kaunas, Lithuania","English, Problem Solving",Vinted,2025-07-24,Lithuania
11,administrator mfx network security services,"EV Group · Sankt Florian am Inn, Upper Austria, Austria",https://www.linkedin.com/jobs/view/4274780687,"Sankt Florian am Inn, Upper Austria, Austria","Network Administration, Threat & Vulnerability Management",EV Group,2025-07-23,Austria
12,senior devops engineer,"Logifuture · Innsbruck, Tyrol, Austria (Hybrid)",https://www.linkedin.com/jobs/view/4305709680,"Innsbruck, Tyrol, Austria","Networking, Test Automation",Logifuture,2025-09-26,Austria
13,cyber security engineer,"Teoresi Group · Bologna, Emilia-Romagna, Italy (Hybrid)",https://www.linkedin.com/jobs/view/4050283372,"Bologna, Emilia-Romagna, Italy","Domain Name System (DNS), Hypertext Transfer Protocol (HTTP)",Teoresi Group,2024-10-17,Italy
14,governance risk compliance grc analyst,"Mindera · Porto, Portugal (Remote)",https://www.linkedin.com/jobs/view/4305975634,"Porto, Portugal","Network Switches, English",Mindera,2025-09-25,Portugal
15,training kaufmann digitization management,"Volkswagen Group Services GmbH · Wolfsburg, Lower Saxony, Germany (On-site)",https://www.linkedin.com/jobs/view/4259769428,"Wolfsburg, Lower Saxony, Germany","Requisitions, Threads",Volkswagen Group Services GmbH,2025-07-01,Germany
