work_role_id,title,alt_titles,summary_statement,mission,tks_ids,ingested_at
1,Chief Information Security Officer (CISO),"['Cybersecurity Programme Director', 'Information Security Officer (ISO)', 'Information Security Manager', 'Head of Information Security', 'IT/ICT Security Officer']","Manages an organisation's cybersecurity strategy and its implementation to ensure that digital systems, services and assets are adequately secure and protected.","Defines, maintains and communicates the cybersecurity vision, strategy, policies and procedures. Manages the implementation of the cybersecurity policy across the organisation. Assures information exchange with external authorities and professional bodies.","['T0001', 'T0002', 'T0003', 'T0004', 'T0005', 'T0006', 'T0007', 'T0008', 'T0009', 'T0010', 'T0011', 'T0012', 'K0001', 'K0002', 'K0003', 'K0004', 'K0005', 'K0006', 'K0007', 'K0008', 'K0009', 'K0010', 'K0011', 'S0001', 'S0002', 'S0003', 'S0004', 'S0005', 'S0006', 'S0007', 'S0008', 'S0009', 'S0010', 'S0011', 'S0012', 'S0013', 'S0014', 'S0015', 'S0016']",2025-10-25T17:42:20.774393
2,Cyber Incident Responder,"['Cyber Incident Handler', 'Cyber Crisis Expert', 'Incident Response Engineer', 'Security Operations Center (SOC) Analyst', 'Cyber Fighter /Defender', 'Security Operation Analyst (SOC Analyst)', 'Cybersecurity SIEM Manager']","Monitor the organisation's cybersecurity state, handle incidents during cyber-attacks and assure the continued operations of ICT systems.","Monitors and assesses systems' cybersecurity state. Analyses, evaluates and mitigates the impact of cybersecurity incidents. Identifies cyber incidents root causes and malicious actors. According to the organisation's Incident Response Plan, restores systems' and processes' functionalities to an operational state, collecting evidences and documenting actions taken.","['T0013', 'T0014', 'T0015', 'T0016', 'T0017', 'T0018', 'T0019', 'T0020', 'T0021', 'T0022', 'T0023', 'K0012', 'K0013', 'K0014', 'K0015', 'K0016', 'K0017', 'K0018', 'K0019', 'K0020', 'K0005', 'K0004', 'K0021', 'K0022', 'S0017', 'S0018', 'S0019', 'S0020', 'S0021', 'S0022']",2025-10-25T17:42:20.774393
3,"Cyber Legal, Policy & Compliance Officer","['Data Protection Officer (DPO)', 'Privacy Protection Officer', 'Cyber Law Consultant', 'Cyber Legal Advisor', 'Information Governance Officer', 'Data Compliance Officer', 'Cybersecurity Legal Officer', 'IT/ICT Compliance Manager', 'Governance Risk Compliance (GRC) Consultant']","Manages compliance with cybersecurity-related standards, legal and regulatory frameworks based on the organisation's strategy and legal requirements.","Oversees and assures compliance with cybersecurity- and data-related legal, regulatory frameworks and policies in line with the organisation's strategy and legal requirements. Contributes to the organisation's data protection related actions. Provides legal advice in the development of the organisation's cybersecurity governance processes and recommended remediation strategies/solutions to ensure compliance.","['T0024', 'T0025', 'T0026', 'T0027', 'T0028', 'T0029', 'T0030', 'T0031', 'T0032', 'T0033', 'T0034', 'T0035', 'K0004', 'K0002', 'K0001', 'K0023', 'K0024', 'S0023', 'S0024', 'S0025', 'S0026', 'S0027', 'S0028', 'S0029', 'S0030']",2025-10-25T17:42:20.774393
4,Cyber Threat Intelligence Specialist,"['Cyber Intelligence Analyst', 'Cyber Threat Modeller']","Collect, process, analyse data and information to produce actionable intelligence reports and disseminate them to target stakeholders.","Manages cyber threat intelligence life cycle including cyber threat information collection, analysis and production of actionable intelligence and dissemination to security stakeholders and the CTI community, at a tactical, operational and strategic level. Identifies and monitors the Tactics, Techniques and Procedures (TTPs) used by cyber threat actors and their trends, track threat actors' activities and observe how non-cyber events can influence cyber-related actions.","['T0036', 'T0037', 'T0038', 'T0039', 'T0040', 'T0041', 'T0042', 'T0043', 'T0044', 'T0045', 'T0046', 'T0047', 'K0016', 'K0017', 'K0025', 'K0026', 'K0027', 'K0028', 'K0029', 'K0018', 'K0030', 'K0019', 'K0031', 'K0032', 'K0005', 'S0030', 'S0018', 'S0031', 'S0032', 'S0033', 'S0034', 'S0035', 'S0012', 'S0021', 'S0036']",2025-10-25T17:42:20.774393
5,Cybersecurity Architect,"['Cybersecurity Solutions Architect', 'Cybersecurity Designer', 'Data Security Architect']","Plans and designs security-by-design solutions (infrastructures, systems, assets, software, hardware and services) and cybersecurity controls.","Designs solutions based on security-by-design and privacy-by-design principles. Creates and continuously improves architectural models and develops appropriate architectural documentation and specifications. Coordinate secure development, integration and maintenance of cybersecurity components in line with standards and other related requirements.","['T0048', 'T0049', 'T0050', 'T0051', 'T0052', 'T0053', 'T0054', 'T0055', 'T0056', 'T0057', 'T0058', 'T0059', 'K0005', 'K0003', 'K0002', 'K0033', 'K0034', 'K0035', 'K0036', 'K0025', 'K0037', 'K0018', 'K0038', 'K0023', 'K0039', 'K0040', 'K0041', 'S0037', 'S0038', 'S0039', 'S0040', 'S0041', 'S0021', 'S0042', 'S0043', 'S0044', 'S0045']",2025-10-25T17:42:20.774393
6,Cybersecurity Auditor,"['Information Security Auditor (IT or Legal Auditor)', 'Governance Risk Compliance (GRC) Auditor', 'Cybersecurity Audit Manager', 'Cybersecurity Procedures and Processes Auditor', 'Information Security Risk and Compliance Auditor', 'Data Protection Assessment Analyst']","Perform cybersecurity audits on the organisation's ecosystem. Ensuring compliance with statutory, regulatory, policy information, security requirements, industry standards and best practices.","Conducts independent reviews to assess the effectiveness of processes and controls and the overall compliance with the organisation's legal and regulatory frameworks policies. Evaluates, tests and verifies cybersecurity-related products (systems, hardware, software and services), functions and policies ensuring, compliance with guidelines, standards and regulations.","['T0060', 'T0061', 'T0062', 'T0063', 'T0064', 'T0065', 'T0066', 'T0067', 'T0068', 'T0069', 'T0070', 'T0071', 'K0025', 'K0023', 'K0042', 'K0043', 'K0044', 'K0002', 'K0045', 'K0005', 'S0046', 'S0047', 'S0048', 'S0049', 'S0050', 'S0051', 'S0052', 'S0053']",2025-10-25T17:42:20.774393
7,Cybersecurity Educator,"['Cybersecurity Awareness Specialist', 'Cybersecurity Trainer', 'Faculty in Cybersecurity (Professor, Lecturer)']","Improves cybersecurity knowledge, skills and competencies of humans.","Designs, develops and conducts awareness, training and educational programmes in cybersecurity and data protection-related topics. Uses appropriate teaching and training methods, techniques and instruments to communicate and enhance the cybersecurity culture, capabilities, knowledge and skills of human resources. Promotes the importance of cybersecurity and consolidates it into the organisation.","['T0072', 'T0073', 'T0074', 'T0075', 'T0076', 'T0077', 'T0078', 'T0079', 'K0046', 'K0047', 'K0005', 'K0048', 'K0004', 'K0003', 'K0002', 'K0025', 'S0054', 'S0055', 'S0056', 'S0057', 'S0058', 'S0059', 'S0021', 'S0060', 'S0016']",2025-10-25T17:42:20.774393
8,Cybersecurity Implementer,"['Information Security Implementer', 'Cybersecurity Solutions Expert', 'Cybersecurity Developer', 'Cybersecurity Engineer', 'Development, Security & Operations (DevSecOps) Engineer']","Develop, deploy and operate cybersecurity solutions (systems, assets, software, controls and services) on infrastructures and products.","Provides cybersecurity-related technical development, integration, testing, implementation, operation, maintenance, monitoring and support of cybersecurity solutions. Ensures adherence to specifications and conformance requirements, assures sound performance and resolves technical issues required in the organisation's cybersecurity-related solutions (systems, assets, software, controls and services), infrastructures and products.","['T0080', 'T0081', 'T0082', 'T0083', 'T0084', 'T0085', 'T0086', 'T0087', 'T0088', 'T0089', 'K0034', 'K0026', 'K0016', 'K0017', 'K0025', 'K0049', 'K0050', 'K0003', 'K0051', 'K0052', 'K0036', 'S0021', 'S0061', 'S0062', 'S0063', 'S0064', 'S0010', 'S0030']",2025-10-25T17:42:20.774393
9,Cybersecurity Researcher,"['Cybersecurity Research Engineer', 'Chief Research Officer (CRO) in cybersecurity', 'Senior Research Officer in cybersecurity', 'Research and Development (R&D) Officer in cybersecurity', 'Scientific Staff in cybersecurity', 'Research and Innovation Officer/Expert in cybersecurity', 'Research Fellow in cybersecurity']",Research the cybersecurity domain and incorporate results in cybersecurity solutions.,Conducts fundamental/basic and applied research and facilitates innovation in the cybersecurity domain through cooperation with other stakeholders. Analyses trends and scientific findings in cybersecurity.,"['T0090', 'T0091', 'T0092', 'T0093', 'T0094', 'T0095', 'T0096', 'T0097', 'T0098', 'T0099', 'T0100', 'T0101', 'K0053', 'K0002', 'K0054', 'K0055', 'K0028', 'S0065', 'S0050', 'S0039', 'S0066', 'S0021', 'S0010', 'S0030']",2025-10-25T17:42:20.774393
10,Cybersecurity Risk Manager,"['Information Security Risk Analyst', 'Cybersecurity Risk Assurance Consultant', 'Cybersecurity Risk Assessor', 'Cybersecurity Impact Analyst', 'Cyber Risk Manager']","Manage the organisation's cybersecurity-related risks aligned to the organisation's strategy. Develop, maintain and communicate the risk management processes and reports.","Continuously manages (identifies, analyses, assesses, estimates, mitigates) the cybersecurity-related risks of ICT infrastructures, systems and services by planning, applying, reporting and communicating risk analysis, assessment and treatment. Establishes a risk management strategy for the organisation and ensures that risks remain at an acceptable level for the organisation by selecting mitigation actions and controls.","['T0102', 'T0103', 'T0104', 'T0105', 'T0106', 'T0107', 'T0108', 'T0109', 'K0011', 'K0056', 'K0057', 'K0018', 'K0020', 'K0025', 'K0037', 'K0042', 'K0005', 'K0036', 'S0067', 'S0068', 'S0069', 'S0070', 'S0021', 'S0071']",2025-10-25T17:42:20.774393
